District,School,City,Grade Level,Expenditures Per Pupil
HANCOCK PUBLIC SCHOOL DISTRICT,HANCOCK SEC.,HANCOCK,High,"12,810.00"
HARBOR CITY INTERNATIONAL CHARTER,,DULUTH,,"14,722.00"
HARBOR CITY INTERNATIONAL CHARTER,HARBOR CITY INTERNATIONAL CHARTER,DULUTH,High,"14,722.00"
HASTINGS PUBLIC SCHOOL DISTRICT,,HASTINGS,,"11,955.00"
HASTINGS PUBLIC SCHOOL DISTRICT,CHRISTA MCAULIFFE ELEMENTARY,HASTINGS,Elementary,"11,550.00"
HASTINGS PUBLIC SCHOOL DISTRICT,HARBOR EDUCATIONAL PROGRAM,HASTINGS,High,"31,184.00"
HASTINGS PUBLIC SCHOOL DISTRICT,HASTINGS ALTERNATIVE CENTER,HASTINGS,High,"17,677.00"
HASTINGS PUBLIC SCHOOL DISTRICT,HASTINGS EARLY CHILD SPECIAL ED.,HASTINGS,Prekindergarten,"36,245.00"
HASTINGS PUBLIC SCHOOL DISTRICT,HASTINGS HIGH School,HASTINGS,High,"12,583.00"
HASTINGS PUBLIC SCHOOL DISTRICT,HASTINGS MIDDLE School,HASTINGS,Middle,"11,309.00"
HASTINGS PUBLIC SCHOOL DISTRICT,KENNEDY ELEMENTARY,HASTINGS,Elementary,"11,838.00"
HASTINGS PUBLIC SCHOOL DISTRICT,PINECREST ELEMENTARY,HASTINGS,Elementary,"10,559.00"
HASTINGS PUBLIC SCHOOL DISTRICT,SPECIAL SERVICES,HASTINGS,Elementary,"3,650.00"
HASTINGS PUBLIC SCHOOL DISTRICT,STAARS,HASTINGS,High,"40,210.00"
HAWLEY PUBLIC SCHOOL DISTRICT,,HAWLEY,,"10,123.00"
HAWLEY PUBLIC SCHOOL DISTRICT,HAWLEY ELEMENTARY,HAWLEY,Elementary,"9,863.00"
HAWLEY PUBLIC SCHOOL DISTRICT,HAWLEY SECONDARY,HAWLEY,High,"10,598.00"
HAWLEY PUBLIC SCHOOL DISTRICT,SPRING PRAIRIE ELEMENTARY,HAWLEY,Elementary,"15,293.00"
HAYFIELD PUBLIC SCHOOL DISTRICT,,HAYFIELD,,"11,028.00"
HAYFIELD PUBLIC SCHOOL DISTRICT,HAYFIELD ELEMENTARY,HAYFIELD,Elementary,"3,193.00"
HAYFIELD PUBLIC SCHOOL DISTRICT,HAYFIELD SECONDARY,HAYFIELD,High,"10,914.00"
HENDRICKS PUBLIC SCHOOL DISTRICT,,HENDRICKS,,"17,615.00"
HENDRICKS PUBLIC SCHOOL DISTRICT,HENDRICKS ALC,HENDRICKS,High,"8,462.00"
HENDRICKS PUBLIC SCHOOL DISTRICT,HENDRICKS ELEMENTARY,HENDRICKS,Elementary,"18,813.00"
HENDRICKS PUBLIC SCHOOL DISTRICT,HENDRICKS PRESchool,HENDRICKS,Prekindergarten,"6,824.00"
HENDRICKS PUBLIC SCHOOL DISTRICT,HENDRICKS SENIOR HIGH,HENDRICKS,High,"24,469.00"
HENDRICKS PUBLIC SCHOOL DISTRICT,MNVSS,HENDRICKS,High,"7,531.00"
HENNEPIN ELEMENTARY SCHOOL,,MINNEAPOLIS,,"18,024.00"
HENNEPIN ELEMENTARY SCHOOL,HENNEPIN ELEMENTARY School,MINNEAPOLIS,Elementary,"17,221.00"
HENNEPIN ELEMENTARY SCHOOL,HENNEPIN MIDDLE School,MINNEPOLIS,Middle,"20,100.00"
HENNING PUBLIC SCHOOL DISTRICT,,HENNING,,"12,380.00"
HENNING PUBLIC SCHOOL DISTRICT,HENNING ELEMENTARY,HENNING,Elementary,"11,751.00"
HENNING PUBLIC SCHOOL DISTRICT,HENNING SECONDARY,HENNING,High,"13,709.00"
HERMAN-NORCROSS SCHOOL DISTRICT,,HERMAN,,"18,373.00"
HERMAN-NORCROSS SCHOOL DISTRICT,HERMAN ELEMENTARY,HERMAN,Elementary,"17,973.00"
HERMAN-NORCROSS SCHOOL DISTRICT,HERMAN SECONDARY,HERMAN,High,"18,907.00"
HERMANTOWN PUBLIC SCHOOL DISTRICT,,HERMANTOWN,,"9,968.00"
HERMANTOWN PUBLIC SCHOOL DISTRICT,HERMANTOWN ALTERNATIVE LEARNING PRG,HERMANTOWN,High,"10,126.00"
HERMANTOWN PUBLIC SCHOOL DISTRICT,HERMANTOWN EARLY CHILDHOOD,HERMANTOWN,Prekindergarten,"4,460.00"
HERMANTOWN PUBLIC SCHOOL DISTRICT,HERMANTOWN ELEMENTARY,HERMANTOWN,Elementary,"9,348.00"
HERMANTOWN PUBLIC SCHOOL DISTRICT,HERMANTOWN MIDDLE,HERMANTOWN,Middle,"9,632.00"
HERMANTOWN PUBLIC SCHOOL DISTRICT,HERMANTOWN SENIOR HIGH,HERMANTOWN,High,"11,265.00"
HERON LAKE-OKABENA SCHOOL DISTRICT,,OKABENA,,"14,562.00"
HERON LAKE-OKABENA SCHOOL DISTRICT,HERON LAKE-OKABENA ELEMENTARY,HERON LAKE,Elementary,"12,646.00"
HERON LAKE-OKABENA SCHOOL DISTRICT,HERON LAKE-OKABENA SECONDARY,OKABENA,High,"16,601.00"
HIAWATHA ACADEMIES,,MINNEAPOLIS,,"17,553.00"
HIAWATHA ACADEMIES,HIAWATHA COLLEGE PREP - KINGFIELD,MINNEAPOLIS,Middle,"15,490.00"
HIAWATHA ACADEMIES,HIAWATHA COLLEGE PREP - NORTHROP,MINNEAPOLIS,Middle,"25,560.00"
HIAWATHA ACADEMIES,HIAWATHA COLLEGIATE HIGH School,MINNEAPOLIS,High,"17,531.00"
HIAWATHA ACADEMIES,HIAWATHA LEADERSHIP ACAD-MORRIS PK,MINNEAPOLIS,Elementary,"17,924.00"
HIAWATHA ACADEMIES,HIAWATHA LEADERSHIP ACDY-NORTHROP,MINNEAPOLIS,Elementary,"17,140.00"
HIBBING PUBLIC SCHOOL DISTRICT,,HIBBING,,"14,083.00"
HIBBING PUBLIC SCHOOL DISTRICT,GREENHAVEN ELEMENTARY,HIBBING,Elementary,"13,969.00"
HIBBING PUBLIC SCHOOL DISTRICT,HIBBING HIGH,HIBBING,High,"15,553.00"
HIBBING PUBLIC SCHOOL DISTRICT,LINCOLN ELEMENTARY,HIBBING,Elementary,"12,433.00"
HIBBING PUBLIC SCHOOL DISTRICT,MESABI AREA LEARNING CENTER,HIBBING,High,"8,362.00"
HIBBING PUBLIC SCHOOL DISTRICT,WASHINGTON ELEMENTARY,HIBBING,Elementary,"13,532.00"
HIGH SCHOOL FOR RECORDING ARTS,,SAINT PAUL,,"21,455.00"
HIGH SCHOOL FOR RECORDING ARTS,HIGH School FOR RECORDING ARTS,SAINT PAUL,High,"21,455.00"
HIGHER GROUND ACADEMY,,SAINT PAUL,,"13,210.00"
HIGHER GROUND ACADEMY,HIGHER GROUND ACADEMY,SAINT PAUL,Elementary,"13,537.00"
HIGHER GROUND ACADEMY,HIGHER GROUND SECONDARY ACADEMY,SAINT PAUL,High,"11,935.00"
HILL CITY PUBLIC SCHOOL DISTRICT,,HILL CITY,,"16,569.00"
HILL CITY PUBLIC SCHOOL DISTRICT,HILL CITY ELEMENTARY,HILL CITY,Elementary,"17,261.00"
HILL CITY PUBLIC SCHOOL DISTRICT,HILL CITY MIDDLE School,HILL CITY,Middle,"14,215.00"
HILL CITY PUBLIC SCHOOL DISTRICT,HILL CITY SENIOR HIGH,HILL CITY,High,"17,871.00"
HILLS-BEAVER CREEK SCHOOL DISTRICT,,HILLS,,"11,397.00"
HILLS-BEAVER CREEK SCHOOL DISTRICT,HILLS-BEAVER CREEK ELEMENTARY,BEAVER CREEK,Elementary,"11,285.00"
HILLS-BEAVER CREEK SCHOOL DISTRICT,HILLS-BEAVER CREEK SECONDARY,HILLS,High,"11,164.00"
HINCKLEY-FINLAYSON SCHOOL DISTRICT,,HINCKLEY,,"12,253.00"
HINCKLEY-FINLAYSON SCHOOL DISTRICT,EMPOWER LEARNING CENTER,HINCKLEY,High,"8,862.00"
HINCKLEY-FINLAYSON SCHOOL DISTRICT,FINLAYSON ELEMENTARY,FINLAYSON,Elementary,"12,831.00"
HINCKLEY-FINLAYSON SCHOOL DISTRICT,HINCKLEY ELEMENTARY,HINCKLEY,Elementary,"10,344.00"
HINCKLEY-FINLAYSON SCHOOL DISTRICT,HINCKLEY-FINLAYSON SECONDARY,HINCKLEY,High,"14,274.00"
HMONG COLLEGE PREP ACADEMY,,SAINT PAUL,,"12,046.00"
HMONG COLLEGE PREP ACADEMY,HMONG COLLEGE PREP ACADEMY ES,SAINT PAUL,Elementary,"10,908.00"
HMONG COLLEGE PREP ACADEMY,HMONG COLLEGE PREP ACADEMY HS,SAINT PAUL,High,"14,522.00"
HMONG COLLEGE PREP ACADEMY,HMONG COLLEGE PREP ACADEMY MS,SAINT PAUL,Elementary,"11,720.00"
HOLDINGFORD PUBLIC SCHOOL DISTRICT,,HOLDINGFORD,,"9,858.00"
HOLDINGFORD PUBLIC SCHOOL DISTRICT,HOLDINGFORD ELEMENTARY,HOLDINGFORD,Elementary,"9,694.00"
HOLDINGFORD PUBLIC SCHOOL DISTRICT,HOLDINGFORD SECONDARY,HOLDINGFORD,High,"10,202.00"
HOPE COMMUNITY ACADEMY,,SAINT PAUL,,"14,114.00"
HOPE COMMUNITY ACADEMY,HOPE COMMUNITY ACADEMY,SAINT PAUL,Elementary,"14,114.00"
HOPKINS PUBLIC SCHOOL DISTRICT,,HOPKINS,,"14,588.00"
HOPKINS PUBLIC SCHOOL DISTRICT,ALICE SMITH ELEMENTARY,HOPKINS,Elementary,"15,052.00"
HOPKINS PUBLIC SCHOOL DISTRICT,EISENHOWER ELEMENTARY,HOPKINS,Elementary,"17,904.00"
HOPKINS PUBLIC SCHOOL DISTRICT,GATEWOOD ELEMENTARY,MINNETONKA,Elementary,"15,506.00"
HOPKINS PUBLIC SCHOOL DISTRICT,GLEN LAKE ELEMENTARY,MINNETONKA,Elementary,"13,509.00"
HOPKINS PUBLIC SCHOOL DISTRICT,HARLEY HOPKINS FAMILY CENTER,HOPKINS,Prekindergarten,"41,183.00"
HOPKINS PUBLIC SCHOOL DISTRICT,HOPKINS NORTH JUNIOR HIGH,MINNETONKA,Middle,"14,056.00"
HOPKINS PUBLIC SCHOOL DISTRICT,HOPKINS SENIOR HIGH,MINNETONKA,High,"15,803.00"
HOPKINS PUBLIC SCHOOL DISTRICT,HOPKINS WEST JUNIOR HIGH,MINNETONKA,Middle,"15,664.00"
HOPKINS PUBLIC SCHOOL DISTRICT,L.H. TANGLEN ELEMENTARY,MINNETONKA,Elementary,"13,279.00"
HOPKINS PUBLIC SCHOOL DISTRICT,MEADOWBROOK ELEMENTARY,GOLDEN VALLEY,Elementary,"12,049.00"
HOPKINS PUBLIC SCHOOL DISTRICT,SENOPS,HOPKINS,Other,"138,827.00"
HOPKINS PUBLIC SCHOOL DISTRICT,TRANSITION PLUS,SAINT LOUIS PARK,High,"24,034.00"
HOPKINS PUBLIC SCHOOL DISTRICT,XINXING ACADEMY,HOPKINS,Elementary,"9,012.00"
HOUSTON PUBLIC SCHOOL DISTRICT,,HOUSTON,,"11,066.00"
HOUSTON PUBLIC SCHOOL DISTRICT,HOUSTON ELEMENTARY,HOUSTON,Elementary,"12,311.00"
HOUSTON PUBLIC SCHOOL DISTRICT,HOUSTON SECONDARY,HOUSTON,High,"14,858.00"
HOUSTON PUBLIC SCHOOL DISTRICT,MINNESOTA VIRTUAL ACADEMY,HOUSTON,Other,"10,434.00"
HOUSTON PUBLIC SCHOOL DISTRICT,SUMMIT LEARNING PROGRAM,HOUSTON,High,"11,189.00"
HOWARD LAKE-WAVERLY-WINSTED,,HOWARD LAKE,,"11,124.00"
HOWARD LAKE-WAVERLY-WINSTED,ALP CREDIT RECOVERY,HOWARD LAKE,High,"3,072.00"
HOWARD LAKE-WAVERLY-WINSTED,HLWW ALTERNATIVE LEARNING PROGRAM,HOWARD LAKE,High,"10,813.00"
HOWARD LAKE-WAVERLY-WINSTED,HOWARD LAKE WAVERLY WINSTED ECSE,WINSTED,Prekindergarten,"3,072.00"
HOWARD LAKE-WAVERLY-WINSTED,HOWARD LAKE-WAVERLY-WINSTED MIDDLE,HOWARD LAKE,Middle,"8,038.00"
HOWARD LAKE-WAVERLY-WINSTED,HOWARD LAKE-WAVERLY-WINSTED SEC.,HOWARD LAKE,High,"15,195.00"
HOWARD LAKE-WAVERLY-WINSTED,HUMPHREY ELEMENTARY,WAVERLY,Elementary,"11,301.00"
HOWARD LAKE-WAVERLY-WINSTED,WINSTED ELEMENTARY,WINSTED,Elementary,"12,107.00"
HUTCHINSON PUBLIC SCHOOL DISTRICT,,HUTCHINSON,,"11,328.00"
HUTCHINSON PUBLIC SCHOOL DISTRICT,CORNERSTONE,HUTCHINSON,Other,"32,271.00"
HUTCHINSON PUBLIC SCHOOL DISTRICT,CROW RIVER AREA LEARNING CENTER,HUTCHINSON,High,"8,883.00"
HUTCHINSON PUBLIC SCHOOL DISTRICT,HUTCHINSON MIDDLE,HUTCHINSON,Middle,"10,255.00"
HUTCHINSON PUBLIC SCHOOL DISTRICT,HUTCHINSON MIDDLE School A.L.C.,HUTCHINSON,Middle,"21,878.00"
HUTCHINSON PUBLIC SCHOOL DISTRICT,HUTCHINSON NIGHT ALT LEARNING CTR,HUTCHINSON,High,"14,734.00"
HUTCHINSON PUBLIC SCHOOL DISTRICT,HUTCHINSON PARK ELEMENTARY,HUTCHINSON,Elementary,"10,698.00"
HUTCHINSON PUBLIC SCHOOL DISTRICT,HUTCHINSON SENIOR HIGH,HUTCHINSON,High,"11,594.00"
HUTCHINSON PUBLIC SCHOOL DISTRICT,HUTCHINSON TRANSITION ASSISTANCE PG,HUTCHINSON,High,"14,954.00"
HUTCHINSON PUBLIC SCHOOL DISTRICT,HUTCHINSON WEST ELEMENTARY,HUTCHINSON,Elementary,"12,733.00"
INDEPENDENT SCHOOL DISTRICT 728,,ELK RIVER,,"11,618.00"
INDEPENDENT SCHOOL DISTRICT 728,C.O.M.P.A.S.S.,ELK RIVER,High,"21,349.00"
INDEPENDENT SCHOOL DISTRICT 728,ELK RIVER DISTRICT SHARED TIME PROG,ELK RIVER,Elementary,"2,295.00"
INDEPENDENT SCHOOL DISTRICT 728,ELK RIVER MIDDLE School ALC,ELK RIVER,Middle,"2,295.00"
INDEPENDENT SCHOOL DISTRICT 728,ELK RIVER SENIOR HIGH,ELK RIVER,High,"11,811.00"
INDEPENDENT SCHOOL DISTRICT 728,FAIRVIEW PROGRAM,ELK RIVER,High,"4,012.00"
INDEPENDENT SCHOOL DISTRICT 728,HANDKE CENTER- EC SPECIAL EDUCATION,ELK RIVER,Prekindergarten,"25,729.00"
INDEPENDENT SCHOOL DISTRICT 728,HASSAN ELEMENTARY,ROGERS,Elementary,"10,464.00"
INDEPENDENT SCHOOL DISTRICT 728,ISD 728 FOCUS/JOURNEY,ELK RIVER,Other,"30,758.00"
INDEPENDENT SCHOOL DISTRICT 728,IVAN SAND AFTER School CREDIT RECOV,ELK RIVER,High,"21,021.00"
INDEPENDENT SCHOOL DISTRICT 728,IVAN SAND COMMUNITY HIGH School,ELK RIVER,High,"25,381.00"
INDEPENDENT SCHOOL DISTRICT 728,IVAN SAND COMMUNITY School SUMMER,ELK RIVER,High,"2,295.00"
INDEPENDENT SCHOOL DISTRICT 728,IVAN SAND COMMUNITY School- IS,ELK RIVER,High,"3,516.00"
INDEPENDENT SCHOOL DISTRICT 728,LINCOLN ELEMENTARY,ELK RIVER,Elementary,"12,091.00"
INDEPENDENT SCHOOL DISTRICT 728,MEADOWVALE ELEMENTARY,ELK RIVER,Elementary,"11,037.00"
INDEPENDENT SCHOOL DISTRICT 728,ONLINE 728,ELK RIVER,High,"9,015.00"
INDEPENDENT SCHOOL DISTRICT 728,OTSEGO ELEMENTARY,OTSEGO,Elementary,"11,654.00"
INDEPENDENT SCHOOL DISTRICT 728,PARKER ELEMENTARY,ELK RIVER,Elementary,"11,152.00"
INDEPENDENT SCHOOL DISTRICT 728,PRAIRIE VIEW ELEMENTARY & MIDDLE,OTSEGO,Elementary,"10,554.00"
INDEPENDENT SCHOOL DISTRICT 728,ROGERS ELEMENTARY,ROGERS,Elementary,"11,510.00"
INDEPENDENT SCHOOL DISTRICT 728,ROGERS MIDDLE School,ROGERS,Middle,"10,035.00"
INDEPENDENT SCHOOL DISTRICT 728,ROGERS SENIOR HIGH,ROGERS,High,"11,544.00"
INDEPENDENT SCHOOL DISTRICT 728,SALK MIDDLE School,ELK RIVER,Middle,"10,867.00"
INDEPENDENT SCHOOL DISTRICT 728,TWIN LAKES ELEMENTARY,ELK RIVER,Elementary,"12,229.00"
INDEPENDENT SCHOOL DISTRICT 728,VANDENBERGE MIDDLE School,ELK RIVER,Middle,"10,762.00"
INDEPENDENT SCHOOL DISTRICT 728,WESTWOOD ELEMENTARY,ZIMMERMAN,Elementary,"11,868.00"
INDEPENDENT SCHOOL DISTRICT 728,ZIMMERMAN ELEMENTARY,ZIMMERMAN,Elementary,"12,890.00"
INDEPENDENT SCHOOL DISTRICT 728,ZIMMERMAN HIGH School,ZIMMERMAN,High,"12,416.00"
INDEPENDENT SCHOOL DISTRICT 728,ZIMMERMAN MIDDLE,ZIMMERMAN,Middle,"10,145.00"
INTERNATIONAL FALLS SCHOOL DISTRICT,,INTERNATIONAL FALLS,,"13,343.00"
INTERNATIONAL FALLS SCHOOL DISTRICT,FALLS ELEMENTARY,INTERNATIONAL FALLS,Elementary,"11,969.00"
INTERNATIONAL FALLS SCHOOL DISTRICT,FALLS SECONDARY,INTERNATIONAL FALLS,High,"14,695.00"
INTERNATIONAL SPANISH LANGUAGE ACAD,,MINNETONKA,,"10,040.00"
INTERNATIONAL SPANISH LANGUAGE ACAD,INTERNATIONAL SPANISH LANGUAGE ACAD,MINNETONKA,Elementary,"10,040.00"
INVER GROVE HEIGHTS SCHOOL,,INVER GROVE HEIGHTS,,"12,453.00"
INVER GROVE HEIGHTS SCHOOL,ATHENEUM ELEMENTARY,INVER GROVE HEIGHTS,Elementary,"7,574.00"
INVER GROVE HEIGHTS SCHOOL,HILLTOP ELEMENTARY,INVER GROVE HEIGHTS,Elementary,"13,412.00"
INVER GROVE HEIGHTS SCHOOL,IGH EARLY CHILDHOOD PROGRAM,INVER GROVE HEIGHTS,Prekindergarten,"30,502.00"
INVER GROVE HEIGHTS SCHOOL,INVER GROVE HEIGHTS MIDDLE,INVER GROVE HEIGHTS,Middle,"12,547.00"
INVER GROVE HEIGHTS SCHOOL,PINE BEND ELEMENTARY,INVER GROVE HEIGHTS,Elementary,"11,158.00"
INVER GROVE HEIGHTS SCHOOL,SALEM HILLS ELEMENTARY,INVER GROVE HEIGHTS,Elementary,"13,175.00"
INVER GROVE HEIGHTS SCHOOL,SIMLEY ALTERNATIVE PROGRAM,INVER GROVE HEIGHTS,High,"3,587.00"
INVER GROVE HEIGHTS SCHOOL,SIMLEY SENIOR HIGH,INVER GROVE HEIGHTS,High,"13,480.00"
ISLE PUBLIC SCHOOL DISTRICT,,ISLE,,"13,856.00"
ISLE PUBLIC SCHOOL DISTRICT,ISLE AREA LEARNING CENTER,ISLE,High,"9,644.00"
ISLE PUBLIC SCHOOL DISTRICT,ISLE ELEMENTARY,ISLE,Elementary,"13,159.00"
ISLE PUBLIC SCHOOL DISTRICT,ISLE SECONDARY,ISLE,High,"15,722.00"
IVANHOE PUBLIC SCHOOL DISTRICT,,IVANHOE,,"11,320.00"
IVANHOE PUBLIC SCHOOL DISTRICT,LINCOLN ELEMENTARY - IVANHOE,IVANHOE,Elementary,"11,546.00"
JACKSON COUNTY CENTRAL SCHOOL DIST.,,JACKSON,,"11,678.00"
JACKSON COUNTY CENTRAL SCHOOL DIST.,JACKSON COUNTY CENTRAL MIDDLE,LAKEFIELD,Middle,"10,848.00"
JACKSON COUNTY CENTRAL SCHOOL DIST.,JACKSON COUNTY CENTRAL SENIOR HIGH,JACKSON,High,"12,496.00"
JACKSON COUNTY CENTRAL SCHOOL DIST.,PLEASANTVIEW ELEMENTARY,LAKEFIELD,Elementary,"13,741.00"
JACKSON COUNTY CENTRAL SCHOOL DIST.,RIVERSIDE ELEMENTARY,JACKSON,Elementary,"11,464.00"
JANE GOODALL ENVIRONMENTAL SCIENCE,,MAPLE LAKE,,"16,173.00"
JANE GOODALL ENVIRONMENTAL SCIENCE,JANE GOODALL ENVIRONMENTAL SCIENCE,MAPLE LAKE,High,"16,173.00"
JANESVILLE-WALDORF-PEMBERTON,,JANESVILLE,,"13,727.00"
JANESVILLE-WALDORF-PEMBERTON,JANESVILLE-WALDORF-PEMBERTON EL.EM.,JANESVILLE,Elementary,"13,369.00"
JANESVILLE-WALDORF-PEMBERTON,JANESVILLE-WALDORF-PEMBERTON SEC,JANESVILLE,High,"14,329.00"
JANESVILLE-WALDORF-PEMBERTON,PHOENIX RECOVERY PROGRAMS,MANKATO,High,"5,332.00"
JENNINGS COMMUNITY SCHOOL,,SAINT PAUL,,"13,875.00"
JENNINGS COMMUNITY SCHOOL,JENNINGS EXPERIENTIAL HIGH School,SAINT PAUL,High,"13,875.00"
JORDAN PUBLIC SCHOOL DISTRICT,,JORDAN,,"10,690.00"
JORDAN PUBLIC SCHOOL DISTRICT,JORDAN EARLY CHILDHOOD,JORDAN,Prekindergarten,"1,949.00"
JORDAN PUBLIC SCHOOL DISTRICT,JORDAN ELEMENTARY,JORDAN,Elementary,"11,338.00"
JORDAN PUBLIC SCHOOL DISTRICT,JORDAN HIGH School,JORDAN,High,"11,690.00"
JORDAN PUBLIC SCHOOL DISTRICT,JORDAN MIDDLE,JORDAN,Middle,"9,546.00"
KALEIDOSCOPE CHARTER SCHOOL,,OTSEGO,,"12,309.00"
KALEIDOSCOPE CHARTER SCHOOL,KALEIDOSCOPE CHARTER ELEMENTARY SCH,OTSEGO,Elementary,"14,535.00"
KALEIDOSCOPE CHARTER SCHOOL,KALEIDOSCOPE CHARTER HIGH School,OTSEGO,High,"13,952.00"
KALEIDOSCOPE CHARTER SCHOOL,KALEIDOSCOPE MIDDLE School,OTSEGO,Middle,"3,592.00"
KASSON-MANTORVILLE SCHOOL DISTRICT,,KASSON,,"9,535.00"
KASSON-MANTORVILLE SCHOOL DISTRICT,KASSON-MANTORVILLE ELEMENTARY,KASSON,Elementary,"9,277.00"
KASSON-MANTORVILLE SCHOOL DISTRICT,KASSON-MANTORVILLE MIDDLE School,KASSON,Middle,"8,392.00"
KASSON-MANTORVILLE SCHOOL DISTRICT,KASSON-MANTORVILLE SENIOR HIGH,KASSON,High,"11,552.00"
KATO PUBLIC CHARTER SCHOOL,,MANKATO,,"17,294.00"
KATO PUBLIC CHARTER SCHOOL,KATO PUBLIC CHARTER School,MANKATO,High,"17,294.00"
KELLIHER PUBLIC SCHOOL DISTRICT,,KELLIHER,,"19,220.00"
KELLIHER PUBLIC SCHOOL DISTRICT,KELLIHER ELEMENTARY,KELLIHER,Elementary,"18,766.00"
KELLIHER PUBLIC SCHOOL DISTRICT,KELLIHER SECONDARY,KELLIHER,High,"20,406.00"
KENYON-WANAMINGO SCHOOL DISTRICT,,WANAMINGO,,"12,482.00"
KENYON-WANAMINGO SCHOOL DISTRICT,KENYON-WANAMINGO ELEMENTARY,WANAMINGO,Elementary,"12,686.00"
KENYON-WANAMINGO SCHOOL DISTRICT,KENYON-WANAMINGO MIDDLE,KENYON,Middle,"11,650.00"
KENYON-WANAMINGO SCHOOL DISTRICT,KENYON-WANAMINGO SENIOR HIGH,KENYON,High,"13,655.00"
KERKHOVEN-MURDOCK-SUNBURG,,KERKHOVEN,,"12,113.00"
KERKHOVEN-MURDOCK-SUNBURG,KERKHOVEN SECONDARY,KERKHOVEN,High,"13,466.00"
KERKHOVEN-MURDOCK-SUNBURG,MURDOCK ELEMENTARY,MURDOCK,Elementary,"11,477.00"
KIMBALL PUBLIC SCHOOL DISTRICT,,KIMBALL,,"10,735.00"
KIMBALL PUBLIC SCHOOL DISTRICT,KIMBALL ELEMENTARY,KIMBALL,Elementary,"10,851.00"
KIMBALL PUBLIC SCHOOL DISTRICT,KIMBALL SECONDARY,KIMBALL,High,"10,492.00"
KINGSLAND PUBLIC SCHOOL DISTRICT,,SPRING VALLEY,,"10,995.00"
KINGSLAND PUBLIC SCHOOL DISTRICT,KINGSLAND ELEMENTARY School,SPRING VALLEY,Elementary,"10,656.00"
KINGSLAND PUBLIC SCHOOL DISTRICT,KINGSLAND JUNIOR/SENIOR HIGH School,SPRING VALLEY,High,"12,386.00"
KIPP MINNESOTA CHARTER SCHOOL,,MINNEAPOLIS,,"22,127.00"
KIPP MINNESOTA CHARTER SCHOOL,KIPP MINNESOTA CHARTER School,MINNEAPOLIS,Middle,"23,508.00"
KIPP MINNESOTA CHARTER SCHOOL,KIPP NORTH STAR PRIMARY,MINNEAPOLIS,Elementary,"20,609.00"
KITTSON CENTRAL SCHOOL DISTRICT,,HALLOCK,,"16,918.00"
KITTSON CENTRAL SCHOOL DISTRICT,KITTSON CENTRAL ELEMENTARY,HALLOCK,Elementary,"15,144.00"
KITTSON CENTRAL SCHOOL DISTRICT,KITTSON CENTRAL SECONDARY,HALLOCK,High,"18,508.00"
LA CRESCENT MONTESSORI & STEM SCHOOL,,LA CRESCENT,,"9,310.00"
LA CRESCENT MONTESSORI & STEM SCHOOL,LA CRESCENT MONTESSORI & STEM ACAD,LA CRESCENT,Elementary,"8,266.00"
LA CRESCENT MONTESSORI & STEM SCHOOL,LA CRESCENT SEC MONTESSORI/STEM,LA CRESCENT,High,"12,056.00"
LA CRESCENT-HOKAH SCHOOL DISTRICT,,LA CRESCENT,,"11,915.00"
LA CRESCENT-HOKAH SCHOOL DISTRICT,LA CRESCENT SENIOR HIGH,LA CRESCENT,High,"21,003.00"
LA CRESCENT-HOKAH SCHOOL DISTRICT,LA CRESCENT-HOKAH ELEMENTARY,LA CRESCENT,Elementary,"12,930.00"
LA CRESCENT-HOKAH SCHOOL DISTRICT,LA CRESCENT-HOKAH MIDDLE School,LA CRESCENT,Middle,"2,319.00"
LAC QUI PARLE VALLEY SCHOOL DIST.,,MADISON,,"13,297.00"
LAC QUI PARLE VALLEY SCHOOL DIST.,APPLETON ELEMENTARY,APPLETON,Elementary,"12,120.00"
LAC QUI PARLE VALLEY SCHOOL DIST.,LAC QUI PARLE VALLEY MIDDLE School,MADISON,Middle,"10,101.00"
LAC QUI PARLE VALLEY SCHOOL DIST.,LAC QUI PARLE VALLEY SECONDARY,MADISON,High,"14,708.00"
LAC QUI PARLE VALLEY SCHOOL DIST.,MADISON-MARIETTA-NASSAU ELEMENTARY,MADISON,Elementary,"15,407.00"
LAFAYETTE PUBLIC CHARTER SCHOOL,,LAFAYETTE,,"12,285.00"
LAFAYETTE PUBLIC CHARTER SCHOOL,LAFAYETTE PUBLIC CHARTER School,LAFAYETTE,Elementary,"12,617.00"
LAFAYETTE PUBLIC CHARTER SCHOOL,STARLAND ELEMENTARY,GIBBON,Elementary,"10,379.00"
LAKE BENTON PUBLIC SCHOOL DISTRICT,,LAKE BENTON,,"11,489.00"
LAKE BENTON PUBLIC SCHOOL DISTRICT,LAKE BENTON ELEMENTARY,LAKE BENTON,Elementary,"11,899.00"
LAKE BENTON PUBLIC SCHOOL DISTRICT,LAKE BENTON SECONDARY,LAKE BENTON,High,"18,938,648.00"
LAKE CITY PUBLIC SCHOOL DISTRICT,,LAKE CITY,,"10,708.00"
LAKE CITY PUBLIC SCHOOL DISTRICT,BLUFF VIEW ELEMENTARY,LAKE CITY,Elementary,"10,151.00"
LAKE CITY PUBLIC SCHOOL DISTRICT,LINCOLN SECONDARY,LAKE CITY,High,"11,600.00"
LAKE CRYSTAL-WELLCOME MEMORIAL,,LAKE CRYSTAL,,"10,702.00"
